X,Y,OBJECTID,schID,schName,mapLabel,Status,esmshs
1281073.98009081,262373.910088643,1,106,Jane Addams,Jane Addams,MS,MS
1275769.47987306,263746.860098645,2,292,Hazel Wolf K-8,Hazel Wolf K-8,Option ELEM,ES
1286987.90986398,185254.069906056,3,264,Rainier View,Rainier View,ELEM,ES
1258789.50005355,189752.729871973,4,203,Arbor Heights,Arbor Heights,ELEM,ES
1288216.76993905,191052.880158812,5,221,Emerson,Emerson,ELEM,ES
1260587.37014547,192764.060135394,6,267,Roxhill,Roxhill,Option School with continuous enrollment,
1284973.46015272,194368.409945056,7,291,South Shore K-8,South Shore K-8,Option ELEM,ES
1256338.29006097,194255.24153623,8,224,FAUNTLEROY BLDG,FAUNTLEROY BLDG,Closed_Leased_Land,
1286494.98007555,194459.620064482,9,21,Rainier Beach,Rainier Beach,HS,HS
1271958.49996223,194568.029952645,10,215,Concord Int'l,Concord Int'l,ELEM,ES
1284328.19011781,194835.150153309,11,219,Dunlap,Dunlap,ELEM,ES
1285252.97009239,194918.319934472,12,960,Sugiyama High,Sugiyama,Option School with continuous enrollment,HS
1266143.11001822,195253.18015714,13,235,Highland Park,Highland Park,ELEM,ES
1280804.68994696,196420.060041219,14,275,Rising Star,Rising Star,ELEM,ES
1261752.0699158,196600.490126565,15,18,Chief Sealth Int'l,Chief Sealth Int'l,HS,HS
1281835.6301423,196979.829919055,16,286,Wing Luke,Wing Luke,ELEM,ES
1261801.99993405,197702.000062644,17,103,David T. Denny Int'l,Denny Int'l,MS,MS
1259615.91998863,198177.529951483,18,267,Roxhill,Roxhill at E.C. Hughes,ELEM,ES
1279081.80166048,199802.451242313,19,288,Kimball,Kimball interim at Old Van Asselt,ELEM,ES
1279081.80166048,199802.451242313,20,319,Early Learning Center,Early Learning Center,Option School with continuous enrollment,
1263683.15004314,200566.689871311,21,273,Sanislo,Sanislo,ELEM,ES
1256318.79009998,200948.509973809,22,225,Gatewood,Gatewood,ELEM,ES
1283885.50005831,200955.799985483,23,207,Martin Luther King Jr,MLK Jr.,ELEM,ES
1260035.42013389,201425.019847557,24,236,West Seattle Elementary,West Seattle ES,ELEM,ES
1285981.61988181,202381.05008772,25,220,Graham Hill,Graham Hill,ELEM,ES
1282665.24987414,202649.160115808,26,130,Aki Kurose,Aki Kurose,MS,MS
1279173.76998048,204882.48996672,27,251,Dearborn Park,Dearborn Park Int'l,ELEM,ES
1274823.00013871,205005.729877725,28,12,Cleveland,Cleveland STEM,Option HS,HS
1258460.52991097,205401.000084564,29,222,Fairmount Park,Fairmount Park,ELEM,ES
1284210.54993314,205705.440092474,30,939,Orca K-8,Orca K-8,Option ELEM,ES
1281478.95008139,206997.380093887,31,364,Interagency at Columbia School,Interagency at Columbia,Option School with continuous enrollment,
1273632.24989556,207127.800108641,32,252,Maple,Maple,ELEM,ES
1280171.05998063,208073.660093561,33,214,COLUMBIA ANNEX,COLUMBIA ANNEX,Closed_Leased,
1257488.99314013,208316.999829978,34,238,JEFFERSON BLDG,JEFFERSON BLDG,Closed_Leased_Land,
1275356.92984514,209286.139952064,35,110,Mercer,Mercer Int'l,MS,MS
1264019.77994731,209314.77998665,36,930,Pathfinder K-8,Pathfinder K-8,Option ELEM,ES
1282452.70010239,209797.739978731,37,233,Hawthorne,Hawthorne,ELEM,ES
1254433.86998531,210195.879930481,38,270,Genesee Hill,Genesee Hill,ELEM,ES
1280727.73996964,212506.779836223,39,256,John Muir,John Muir,ELEM,ES
1254526.12997139,212819.580063641,40,270,Schmitz Park,Schmitz Park,CLOSED,
1277664.50003314,212858.32998614,41,288,KIMBALL ELEM,Kimball (site),CLOSED BEX/BTA,
1256120.38006373,212893.619941816,42,107,Madison,Madison,MS,MS
1279989.2401343,213486.240147635,43,13,Franklin,Franklin,HS,HS
1257552.24990338,214250.750101566,44,19,West Seattle High,West Seattle HS,HS,HS
1251820.84010638,214499.249932647,45,202,Alki,Alki,ELEM,ES
1256919.88010514,215254.310102314,46,239,Lafayette,Lafayette,ELEM,ES
1274760.89986922,217081.839911804,47,205,Beacon Hill Int'l,Beacon Hill Int'l,ELEM,ES
1278563.94016339,219011.670041636,48,212,Thurgood Marshall,Thurgood Marshall,ELEM,ES
1277550.99993205,221583.780054897,49,117,Washington,Washington,MS,MS
1274777.68986189,222820.819903642,50,226,Bailey Gatzert,Gatzert,ELEM,ES
1280622.75986464,223038.450045809,51,244,Leschi,Leschi,ELEM,ES
1278156.77004597,224295.250025645,52,14,Garfield,Garfield,HS,HS
1278419.13008556,225386.440100476,53,23,Nova,Nova at Mann,Option School with continuous enrollment,HS
1280925.79009847,226729.750077888,54,249,Madrona,Madrona,ELEM,ES
1276391.74995397,227230.859968066,55,983,World School,World School at Minor,Option School with continuous enrollment,MSHS
1265432.38014047,230620.449973643,56,24,The Center School,Center School,Option HS,HS
1266435.44014221,231025.430134803,57,752,MEMORIAL STADIUM,MEMORIAL STADIUM,Admin,
1274227.25001788,231303.909892812,58,245,Lowell,Lowell,ELEM,ES
1276868.68010247,233818.910112143,59,272,Stevens,Stevens,ELEM,ES
1263071.55284114,234220.155044556,60,280,WEST QUEEN ANNE BLDG,WEST QUEEN ANNE BLDG,Closed_Leased_Land,
1266068.74008822,234555.130096391,61,234,John Hay,Hay,ELEM,ES
1282564.87999614,234667.019964471,62,248,McGilvra,McGilvra,ELEM,ES
1264312.73014881,236022.869943053,63,118,McClure,McClure,MS,MS
1266782.38990764,236389.049984977,64,974,Queen Anne,Queen Anne,Option ELEM,ES
1277815.37013823,237148.640001222,65,255,Montlake,Montlake,ELEM,ES
1262701.86001097,237401.020073891,66,211,Coe,Coe,ELEM,ES
1256041.70010297,237567.699858636,67,250,Magnolia,Magnolia,ELEM,ES
1272923.56988247,237846.300023228,68,935,TOPS K-8,TOPS K-8,Option ELEM,ES
1254417.66004397,238203.11984764,69,289,Catharine Blaine K-8,Catharine Blaine K-8,ELEM,ES
1264463.86993839,239467.139957398,70,945,Cascade,Cascade PPP,Option School with continuous enrollment,
1266864.0698624,242469.889857396,71,218,B.F. Day,B.F. Day,ELEM,ES
1269615.7100284,243307.750058308,72,105,Hamilton Int'l,Hamilton Int'l,MS,MS
1273062.46002464,243404.19015415,73,241,John Stanford Int'l,John Stanford Int'l,Option ELEM,ES
1256690.24998698,243430.789838478,74,243,Lawton,Lawton,ELEM,ES
1269243.30001205,244366.399843886,75,15,Lincoln,Lincoln,HS,HS
1270199.30302131,244623.405891553,76,285,INTERLAKE BLDG,INTERLAKE BLDG,Closed_Leased_Land,
1284450.63016164,244890.659950227,77,242,Laurelhurst,Laurelhurst,ELEM,ES
1272511.80987923,247335.86995481,78,247,McDonald Int'l,McDonald Int'l,Option ELEM,ES
1263746.12006156,248355.779988483,79,281,West Woodland,West Woodland,ELEM,ES
1281008.30010405,248473.999896392,80,209,Bryant,Bryant,ELEM,ES
1256557.70005523,249606.479914889,81,201,Adams,Adams,ELEM,ES
1272100.0200204,250272.03009297,82,229,Green Lake,Green Lake,ELEM,ES
1259288.58009213,250523.770075053,83,949,Salmon Bay K-8,Salmon Bay K-8,Option ELEM,ES
1275970.69994305,250536.430154726,84,17,Roosevelt,Roosevelt,HS,HS
1273629.49990106,250587.700065315,85,276,Viewlands,Viewlands interim at John Marshall,ELEM,ES
1260675.93985023,250610.249888971,86,11,Ballard,Ballard,HS,HS
1255395.88479355,251113.832215145,87,955,Licton Springs K-8,Licton Springs K-8,Option ELEM,ES
1285225.18996422,251621.500163063,88,277,View Ridge,View Ridge,ELEM,ES
1280398.17993322,252381.309995145,89,104,Eckstein,Eckstein,MS,MS
1261173.49003622,253146.520078897,90,282,Whittier,Whittier,ELEM,ES
1282965.93070322,253343.149278805,91,977,Thornton Creek,Thornton Creek,Option ELEM,ES
1268771.1700508,254005.600053638,92,204,Daniel Bagley,Bagley,ELEM,ES
1257260.28985739,254263.429918557,93,246,Loyal Heights,Loyal Heights,ELEM,ES
1264429.86016388,254418.429936647,94,230,Greenwood,Greenwood,ELEM,ES
1279943.71988414,255315.149927974,95,279,Wedgwood,Wedgwood,ELEM,ES
1257819.37010406,257367.530009553,96,259,North Beach,North Beach,ELEM,ES
1260155.07015705,257968.809974983,97,115,Whitman,Whitman,MS,MS
1274037.94002905,258235.33011122,98,262,Olympic View,Olympic View,ELEM,ES
1277433.42011473,258249.080083728,99,268,Sacajawea,Sacajawea,ELEM,ES
1268651.17914906,259874.307476312,100,260,OAK LAKE BLDG,OAK LAKE BLDG,Closed_Leased_Land,
1264277.4999043,261250.829985723,101,276,VIEWLANDS ELEM,Viewlands (site),CLOSED BEX/BTA,
1283118.24010989,261416.439890727,102,266,John Rogers,John Rogers,ELEM,ES
1280683.36997963,261536.279874146,103,22,Nathan Hale,Nathan Hale,HS,HS
1272105.72998272,264341.990141973,104,257,Northgate,Northgate,ELEM,ES
1279535.29878497,265701.408682972,105,240,LAKE CITY BLDG,LAKE CITY BLDG,Closed_Vacant,
1277786.25996022,267449.850067973,106,261,Olympic Hills,Olympic Hills,ELEM,ES
1266376.49012889,268016.519866392,107,208,Broadview-Thomson K-8,Broadview-Thomson K-8,ELEM,ES
1270397.75997347,268327.269901052,108,20,Ingraham,Ingraham Int'l,HS,HS
1288231.26006755,248998.63008073,109,269,Sand Point,Sand Point,ELEM,ES
1262888.33995298,203870.059904978,110,972,Louisa Boren K-8,Boren STEM K-8,Option ELEM,ES
1270971.56000698,215342.869964555,111,990,JOHN STANFORD CENTER,JOHN STANFORD CENTER,Admin,
1269119.83831672,257104.031520814,112,113,Robert Eagle Staff,Robert Eagle Staff,MS,MS
1277445.88006355,230213.140092731,113,109,Meany,Meany,MS,MS
1270067.5965918,257113.155518308,114,971,Cascadia,Cascadia,HC,ES
1282531.86792305,268135.875926897,115,210,Cedar Park,Cedar Park,Option ELEM,ES
1265680.67393522,234243.291153148,116,365,Interagency at Queen Anne,Queen Anne Gym,NonStandard,
1283463.8867283,253488.276285142,117,287,Decatur,Decatur,HC,ES
